"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/1987","414.61","416.68","414.61","414.61","","-0.68%"
"01/14/1987","417.44","418.85","417.44","417.44","","2.02%"
"01/13/1987","409.18","410.27","409.18","409.18","","-0.35%"
"01/12/1987","410.60","411.36","410.60","410.60","","1.64%"
"01/09/1987","403.97","405.17","403.97","403.97","","0.62%"
"01/08/1987","401.47","403.86","401.47","401.47","","0.41%"
"01/07/1987","399.84","401.26","399.84","399.84","","-0.22%"
"01/06/1987","400.71","403.10","400.71","400.71","","0.41%"
"01/05/1987","399.08","403.10","399.08","399.08","","-1.00%"
"01/02/1987","403.10","406.90","403.10","403.10","","3.31%"
"12/31/1986","390.19","390.19","390.19","390.19","","0.60%"
"12/30/1986","387.87","388.42","387.87","387.87","","0.14%"
"12/29/1986","387.33","391.29","387.33","387.33","","-0.14%"
"12/24/1986","387.87","389.65","387.87","387.87","","-0.21%"
"12/23/1986","388.69","393.74","388.69","388.69","","-0.94%"
"12/22/1986","392.38","395.93","392.38","392.38","","0.31%"
"12/19/1986","391.15","394.97","391.15","391.15","","-0.28%"
"12/18/1986","392.24","392.92","392.24","392.24","","0.24%"
"12/17/1986","391.29","393.47","391.29","391.29","","-0.52%"
"12/16/1986","393.33","394.56","393.33","393.33","","-0.14%"
"12/15/1986","393.88","395.11","393.88","393.88","","1.05%"
"12/12/1986","389.78","391.42","389.78","389.78","","0.53%"
"12/11/1986","387.74","389.51","387.74","387.74","","-0.66%"
"12/10/1986","390.33","392.10","390.33","390.33","","1.10%"
"12/09/1986","386.10","389.10","386.10","386.10","","-0.21%"
"12/08/1986","386.92","392.24","386.92","386.92","","-0.07%"
"12/05/1986","387.19","388.42","387.19","387.19","","0.07%"
"12/04/1986","386.92","392.10","386.92","386.92","","-1.22%"
"12/03/1986","391.69","393.47","391.69","391.69","","0.98%"
"12/02/1986","387.87","394.56","387.87","387.87","","-0.80%"
"12/01/1986","391.01","400.43","391.01","391.01","","0.53%"
"11/28/1986","388.96","390.47","388.96","388.96","","1.60%"
"11/27/1986","382.82","383.23","382.82","382.82","","0.46%"
"11/26/1986","381.05","384.32","381.05","381.05","","-0.71%"
"11/25/1986","383.78","384.87","383.78","383.78","","0.72%"
"11/24/1986","381.05","381.32","381.05","381.05","","-0.46%"
"11/21/1986","382.82","390.74","382.82","382.82","","-1.51%"
"11/20/1986","388.69","388.96","388.69","388.69","","-0.97%"
"11/19/1986","392.51","392.92","392.51","392.51","","0.56%"
"11/18/1986","390.33","390.60","390.33","390.33","","-0.10%"
"11/17/1986","390.74","395.93","390.74","390.74","","-4.09%"
"11/14/1986","407.39","410.53","407.39","407.39","","0.10%"
"11/13/1986","406.98","408.07","406.98","406.98","","0.57%"
"11/12/1986","404.66","408.21","404.66","404.66","","0.20%"
"11/11/1986","403.84","407.39","403.84","403.84","","-1.63%"
"11/10/1986","410.53","411.49","410.53","410.53","","0.47%"
"11/07/1986","408.62","409.57","408.62","408.62","","0.27%"
"11/06/1986","407.53","408.07","407.53","407.53","","0.51%"
"11/05/1986","405.48","412.17","405.48","405.48","","-0.50%"
"11/04/1986","407.53","409.17","407.53","407.53","","0.51%"
"11/03/1986","405.48","406.16","405.48","405.48","","1.40%"
"10/31/1986","399.88","407.12","399.88","399.88","","-1.18%"
"10/30/1986","404.66","406.98","404.66","404.66","","0.03%"
"10/29/1986","404.52","410.80","404.52","404.52","","-1.66%"
"10/28/1986","411.35","412.58","411.35","411.35","","0.50%"
"10/27/1986","409.30","411.08","409.30","409.30","","-0.50%"
"10/24/1986","411.35","414.08","411.35","411.35","","-2.93%"
"10/23/1986","423.77","425.68","423.77","423.77","","0.03%"
"10/22/1986","423.63","427.59","423.63","423.63","","-0.10%"
"10/21/1986","424.04","426.91","424.04","424.04","","-0.26%"
"10/20/1986","425.13","426.09","425.13","425.13","","1.10%"
"10/17/1986","420.49","422.95","420.49","420.49","","-1.09%"
"10/16/1986","425.13","425.95","425.13","425.13","","0.52%"
"10/15/1986","422.95","426.36","422.95","422.95","","-1.24%"
"10/14/1986","428.27","432.37","428.27","428.27","","-0.76%"
"10/13/1986","431.55","432.64","431.55","431.55","","0.29%"
"10/10/1986","430.32","431.28","430.32","430.32","","-0.35%"
"10/09/1986","431.82","438.65","431.82","431.82","","-1.49%"
"10/08/1986","438.37","439.74","438.37","438.37","","0.28%"
"10/07/1986","437.15","443.97","437.15","437.15","","0.00%"
"10/06/1986","437.15","438.92","437.15","437.15","","0.13%"
"10/03/1986","436.60","440.69","436.60","436.60","","1.04%"
"10/02/1986","432.10","433.32","432.10","432.10","","2.16%"
"10/01/1986","422.95","426.23","422.95","422.95","","0.03%"
"09/30/1986","422.81","423.91","422.81","422.81","","-1.09%"
"09/29/1986","427.45","428.68","427.45","427.45","","-0.82%"
"09/26/1986","431.00","436.60","431.00","431.00","","-0.19%"
"09/25/1986","431.82","431.82","431.82","431.82","","-0.28%"
"09/24/1986","433.05","437.96","433.05","433.05","","0.28%"
"09/23/1986","431.82","438.37","431.82","431.82","","-0.75%"
"09/22/1986","435.10","444.24","435.10","435.10","","1.43%"
"09/19/1986","428.96","431.69","428.96","428.96","","3.02%"
"09/18/1986","416.40","419.40","416.40","416.40","","1.23%"
"09/17/1986","411.35","413.94","411.35","411.35","","-0.46%"
"09/16/1986","413.26","417.49","413.26","413.26","","0.90%"
"09/15/1986","409.57","417.76","409.57","409.57","","-1.90%"
"09/12/1986","417.49","422.68","417.49","417.49","","4.19%"
"09/11/1986","400.70","407.66","400.70","400.70","","-3.77%"
"09/10/1986","416.40","417.49","416.40","416.40","","1.62%"
"09/09/1986","409.75","411.83","409.75","409.75","","-1.43%"
"09/08/1986","415.68","421.09","415.68","415.68","","-0.42%"
"09/05/1986","417.45","421.09","417.45","417.45","","3.40%"
"09/04/1986","403.72","404.87","403.72","403.72","","-0.28%"
"09/03/1986","404.87","406.94","404.87","404.87","","3.48%"
"09/02/1986","391.24","393.74","391.24","391.24","","0.91%"
"09/01/1986","387.71","389.48","387.71","387.71","","1.11%"
"08/29/1986","383.45","386.77","383.45","383.45","","0.05%"
"08/28/1986","383.24","385.32","383.24","383.24","","1.38%"
"08/27/1986","378.04","378.87","378.04","378.04","","-0.03%"
"08/26/1986","378.14","380.22","378.14","378.14","","-0.33%"
"08/22/1986","379.39","386.25","379.39","379.39","","-0.60%"
"08/21/1986","381.68","382.30","381.68","381.68","","1.61%"
"08/20/1986","375.65","377.42","375.65","375.65","","0.95%"
"08/19/1986","372.11","372.63","372.11","372.11","","-0.69%"
"08/18/1986","374.71","379.91","374.71","374.71","","-2.04%"
"08/15/1986","382.51","385.84","382.51","382.51","","0.00%"
"08/14/1986","382.51","383.24","382.51","382.51","","-1.55%"
"08/13/1986","388.54","389.48","388.54","388.54","","1.80%"
"08/12/1986","381.68","388.54","381.68","381.68","","-0.86%"
"08/11/1986","385.00","392.80","385.00","385.00","","5.17%"
"08/08/1986","366.08","367.85","366.08","366.08","","1.94%"
"08/07/1986","359.12","360.57","359.12","359.12","","0.09%"
"08/06/1986","358.80","359.53","358.80","358.80","","0.88%"
"08/05/1986","355.68","356.31","355.68","355.68","","-0.32%"
"08/04/1986","356.83","358.80","356.83","356.83","","-0.55%"
"08/01/1986","358.80","358.80","358.80","358.80","","1.17%"
"07/31/1986","354.64","357.04","354.64","354.64","","1.79%"
"07/30/1986","348.40","349.24","348.40","348.40","","0.00%"
"07/29/1986","348.40","351.63","348.40","348.40","","-0.60%"
"07/28/1986","350.49","351.63","350.49","350.49","","1.23%"
"07/25/1986","346.22","346.64","346.22","346.22","","0.21%"
"07/24/1986","345.49","346.22","345.49","345.49","","0.30%"
"07/23/1986","344.45","349.24","344.45","344.45","","-1.72%"
"07/22/1986","350.49","351.00","350.49","350.49","","-0.15%"
"07/21/1986","351.00","352.88","351.00","351.00","","1.75%"
"07/18/1986","344.97","347.47","344.97","344.97","","0.15%"
"07/17/1986","344.45","344.97","344.45","344.45","","0.15%"
"07/16/1986","343.93","346.64","343.93","343.93","","-0.15%"
"07/15/1986","344.45","344.45","344.45","344.45","","0.55%"
"07/14/1986","342.58","343.52","342.58","342.58","","-0.69%"
"07/11/1986","344.97","344.97","344.97","344.97","","0.42%"
"07/10/1986","343.52","345.49","343.52","343.52","","-0.12%"
