"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/1997","340.25","340.35","340.25","340.25","","-0.06%"
"05/01/1997","340.45","339.55","340.45","340.45","","0.32%"
"04/30/1997","339.35","339.95","339.35","339.35","","-0.18%"
"04/29/1997","339.95","339.75","339.95","339.95","","0.09%"
"04/28/1997","339.65","342.05","339.65","339.65","","-0.73%"
"04/25/1997","342.15","340.55","342.15","342.15","","0.41%"
"04/24/1997","340.75","341.35","340.75","340.75","","-0.18%"
"04/23/1997","341.35","341.35","341.35","341.35","","0.01%"
"04/22/1997","341.30","342.70","341.30","341.30","","-0.47%"
"04/21/1997","342.90","341.45","342.90","342.90","","0.42%"
"04/18/1997","341.45","342.45","341.45","341.45","","-0.32%"
"04/17/1997","342.55","341.45","342.55","342.55","","0.29%"
"04/16/1997","341.55","341.90","341.55","341.55","","-0.15%"
"04/15/1997","342.05","346.30","342.05","342.05","","-1.21%"
"04/14/1997","346.25","346.75","346.25","346.25","","-0.20%"
"04/11/1997","346.95","348.65","346.95","346.95","","-0.49%"
"04/10/1997","348.65","347.85","348.65","348.65","","0.17%"
"04/09/1997","348.05","348.35","348.05","348.05","","-0.14%"
"04/08/1997","348.55","348.15","348.55","348.55","","0.14%"
"04/07/1997","348.05","348.75","348.05","348.05","","-0.20%"
"04/04/1997","348.75","348.85","348.75","348.75","","-0.03%"
"04/03/1997","348.85","349.25","348.85","348.85","","-0.06%"
"04/02/1997","349.05","352.00","349.05","349.05","","-0.82%"
"04/01/1997","351.95","351.15","351.95","351.95","","0.23%"
"03/31/1997","351.15","349.75","351.15","351.15","","0.40%"
"03/28/1997","349.75","349.50","349.75","349.75","","0.09%"
"03/27/1997","349.45","350.35","349.45","349.45","","-0.26%"
"03/26/1997","350.35","347.70","350.35","350.35","","0.72%"
"03/25/1997","347.85","349.85","347.85","347.85","","-0.61%"
"03/24/1997","350.00","352.75","350.00","350.00","","-0.81%"
"03/21/1997","352.85","351.50","352.85","352.85","","0.38%"
"03/20/1997","351.50","352.05","351.50","351.50","","-0.14%"
"03/19/1997","352.00","349.80","352.00","352.00","","0.73%"
"03/18/1997","349.45","347.50","349.45","349.45","","0.49%"
"03/17/1997","347.75","352.25","347.75","347.75","","-1.28%"
"03/14/1997","352.25","354.10","352.25","352.25","","-0.37%"
"03/13/1997","353.55","352.20","353.55","353.55","","0.41%"
"03/12/1997","352.10","353.55","352.10","352.10","","-0.41%"
"03/11/1997","353.55","351.50","353.55","353.55","","0.48%"
"03/10/1997","351.85","348.85","351.85","351.85","","0.89%"
"03/07/1997","348.75","352.25","348.75","348.75","","-0.97%"
"03/06/1997","352.15","352.95","352.15","352.15","","-0.23%"
"03/05/1997","352.95","359.05","352.95","352.95","","-1.67%"
"03/04/1997","358.95","361.85","358.95","358.95","","-0.82%"
"03/03/1997","361.90","363.70","361.90","361.90","","-0.37%"
"02/28/1997","363.25","359.25","363.25","363.25","","1.14%"
"02/27/1997","359.15","354.15","359.15","359.15","","1.38%"
"02/26/1997","354.25","354.25","354.25","354.25","","0.00%"
"02/25/1997","354.25","353.45","354.25","354.25","","0.28%"
"02/24/1997","353.25","351.80","353.25","353.25","","0.28%"
"02/21/1997","352.25","350.75","352.25","352.25","","0.50%"
"02/20/1997","350.50","345.05","350.50","350.50","","1.52%"
"02/19/1997","345.25","345.65","345.25","345.25","","-0.17%"
"02/18/1997","345.85","343.95","345.85","345.85","","0.46%"
"02/17/1997","344.25","345.10","344.25","344.25","","-0.15%"
"02/14/1997","344.75","341.25","344.75","344.75","","1.10%"
"02/13/1997","341.00","342.55","341.00","341.00","","-0.55%"
"02/12/1997","342.90","339.65","342.90","342.90","","0.90%"
"02/11/1997","339.85","341.50","339.85","339.85","","-0.45%"
"02/10/1997","341.40","342.40","341.40","341.40","","-0.10%"
"02/07/1997","341.75","342.65","341.75","341.75","","-0.38%"
"02/06/1997","343.05","344.25","343.05","343.05","","-0.38%"
"02/05/1997","344.35","344.35","344.35","344.35","","0.00%"
"02/04/1997","344.35","346.65","344.35","344.35","","-0.66%"
"02/03/1997","346.65","344.65","346.65","346.65","","0.67%"
"01/31/1997","344.35","345.55","344.35","344.35","","-0.38%"
"01/30/1997","345.65","351.10","345.65","345.65","","-1.59%"
"01/29/1997","351.25","353.25","351.25","351.25","","-0.57%"
"01/28/1997","353.25","356.25","353.25","353.25","","-0.84%"
"01/27/1997","356.25","352.75","356.25","356.25","","1.11%"
"01/24/1997","352.35","352.05","352.35","352.35","","0.11%"
"01/23/1997","351.95","350.85","351.95","351.95","","0.34%"
"01/22/1997","350.75","352.95","350.75","350.75","","-0.62%"
"01/21/1997","352.95","353.35","352.95","352.95","","-0.17%"
"01/20/1997","353.55","355.45","353.55","353.55","","-0.56%"
"01/17/1997","355.55","354.55","355.55","355.55","","0.28%"
"01/16/1997","354.55","352.50","354.55","354.55","","0.58%"
"01/15/1997","352.50","354.05","352.50","352.50","","-0.42%"
"01/14/1997","354.00","358.65","354.00","354.00","","-1.26%"
"01/13/1997","358.50","358.85","358.50","358.50","","-0.15%"
"01/10/1997","359.05","357.65","359.05","359.05","","0.36%"
"01/09/1997","357.75","355.80","357.75","357.75","","0.52%"
"01/08/1997","355.90","358.85","355.90","355.90","","-0.82%"
"01/07/1997","358.85","358.05","358.85","358.85","","0.28%"
"01/06/1997","357.85","361.75","357.85","357.85","","-0.89%"
"01/03/1997","361.05","365.55","361.05","361.05","","-1.19%"
"01/02/1997","365.40","367.90","365.40","365.40","","-0.72%"
"12/31/1996","368.05","369.45","368.05","368.05","","-0.38%"
"12/30/1996","369.45","369.45","369.45","369.45","","0.00%"
"12/27/1996","369.45","369.25","369.45","369.45","","0.05%"
"12/26/1996","369.25","368.70","369.25","369.25","","0.09%"
"12/25/1996","368.90","368.90","368.90","368.90","","0.01%"
"12/24/1996","368.85","369.00","368.85","368.85","","0.00%"
"12/23/1996","368.85","368.75","368.85","368.85","","0.03%"
"12/20/1996","368.75","368.90","368.75","368.75","","-0.08%"
"12/19/1996","369.05","369.05","369.05","369.05","","-0.08%"
"12/18/1996","369.35","368.70","369.35","369.35","","0.22%"
"12/17/1996","368.55","368.25","368.55","368.55","","0.12%"
"12/16/1996","368.10","368.75","368.10","368.10","","-0.16%"
"12/13/1996","368.70","369.60","368.70","368.70","","-0.12%"
"12/12/1996","369.15","368.95","369.15","369.15","","0.03%"
"12/11/1996","369.05","368.75","369.05","369.05","","0.12%"
"12/10/1996","368.60","368.20","368.60","368.60","","0.14%"
"12/09/1996","368.10","369.20","368.10","368.10","","-0.23%"
"12/06/1996","368.95","370.95","368.95","368.95","","-0.53%"
"12/05/1996","370.90","370.95","370.90","370.90","","-0.01%"
"12/04/1996","370.95","369.05","370.95","370.95","","0.62%"
"12/03/1996","368.65","368.25","368.65","368.65","","0.05%"
"12/02/1996","368.45","371.25","368.45","368.45","","-0.79%"
"11/29/1996","371.40","372.45","371.40","371.40","","-0.30%"
"11/28/1996","372.50","373.40","372.50","372.50","","-0.25%"
"11/27/1996","373.45","375.25","373.45","373.45","","-0.43%"
"11/26/1996","375.05","374.55","375.05","375.05","","0.15%"
"11/25/1996","374.50","376.45","374.50","374.50","","-0.49%"
"11/22/1996","376.35","376.85","376.35","376.35","","-0.09%"
"11/21/1996","376.70","378.00","376.70","376.70","","-0.44%"
"11/20/1996","378.35","378.15","378.35","378.35","","0.05%"
"11/19/1996","378.15","379.15","378.15","378.15","","-0.24%"
"11/18/1996","379.05","380.35","379.05","379.05","","-0.33%"
"11/15/1996","380.30","381.30","380.30","380.30","","-0.29%"
"11/14/1996","381.40","383.05","381.40","381.40","","-0.46%"
"11/13/1996","383.15","382.70","383.15","383.15","","0.09%"
"11/12/1996","382.80","381.65","382.80","382.80","","0.34%"
"11/11/1996","381.50","379.55","381.50","381.50","","0.54%"
"11/08/1996","379.45","379.05","379.45","379.45","","0.09%"
"11/07/1996","379.10","377.95","379.10","379.10","","0.30%"
"11/06/1996","377.95","378.75","377.95","377.95","","-0.21%"
"11/05/1996","378.75","378.75","378.75","378.75","","0.01%"
"11/04/1996","378.70","378.05","378.70","378.70","","0.12%"
"11/01/1996","378.25","377.95","378.25","378.25","","0.08%"
"10/31/1996","377.95","380.25","377.95","377.95","","-0.67%"
"10/30/1996","380.50","380.45","380.50","380.50","","-0.03%"
